state,statename,DateEmergDec,DateSchoolClose,DateRestaurantOtherRestrict,DateNEBusinessClose,DateStayAtHome,DateFirstCase,DateFirstDeath,DateFirstAnnounce,DateReOpen,DateReOpenPhase2
OR,Oregon,8-Mar-20,16-Mar-20,17-Mar-20,,23-Mar-20,28-Feb-20,14-Mar-20,6-May-20,15-May-20,4-Jun-20
PA,Pennsylvania,6-Mar-20,16-Mar-20,17-Mar-20,23-Mar-20,1-Apr-20,6-Mar-20,18-Mar-20,4-May-20,8-May-20,29-May-20
RI,Rhode Island,9-Mar-20,16-Mar-20,17-Mar-20,,28-Mar-20,1-Mar-20,1-Apr-20,27-Apr-20,9-May-20,1-Jun-20
SC,South Carolina,13-Mar-20,16-Mar-20,18-Mar-20,,7-Apr-20,7-Mar-20,16-Mar-20,20-Apr-20,20-Apr-20,18-May-20
SD,South Dakota,13-Mar-20,16-Mar-20,,,,10-Mar-20,10-Mar-20,28-Apr-20,1-May-20,
TN,Tennessee,12-Mar-20,20-Mar-20,23-Mar-20,1-Apr-20,1-Apr-20,5-Mar-20,21-Mar-20,20-Apr-20,27-Apr-20,22-May-20
TX,Texas,13-Mar-20,23-Mar-20,21-Mar-20,,2-Apr-20,13-Feb-20,16-Mar-20,27-Apr-20,1-May-20,18-May-20
UT,Utah,6-Mar-20,16-Mar-20,19-Mar-20,,27-Mar-20,6-Mar-20,22-Mar-20,17-Apr-20,1-May-20,16-May-20
VT,Vermont,13-Mar-20,18-Mar-20,17-Mar-20,25-Mar-20,24-Mar-20,7-Mar-20,19-Mar-20,17-Apr-20,27-Apr-20,18-May-20
VA,Virginia,12-Mar-20,16-Mar-20,17-Mar-20,,30-Mar-20,7-Mar-20,14-Mar-20,24-Apr-20,15-May-20,5-Jun-20
WA,Washington,29-Feb-20,17-Mar-20,16-Mar-20,25-Mar-20,23-Mar-20,21-Jan-20,29-Feb-20,1-May-20,5-May-20,11-May-20
WV,West Virginia,16-Mar-20,16-Mar-20,18-Mar-20,24-Mar-20,24-Mar-20,17-Mar-20,29-Mar-20,27-Apr-20,4-May-20,21-May-20
WI,Wisconsin,12-Mar-20,18-Mar-20,17-Mar-20,25-Mar-20,25-Mar-20,5-Feb-20,19-Mar-20,20-Apr-20,20-Apr-20,13-May-20
WY,Wyoming,13-Mar-20,16-Mar-20,19-Mar-20,,,11-Mar-20,13-Apr-20,23-Apr-20,1-May-20,
