"","ensemble_id","PV_losses","cases_per_100k","start_date","end_date","labor_supply_level","duration","intensity","q_cases"
"1","1",12502.8264295661,61815.3489302685,66,110,0.671272235224023,44,14.464021650143,"Q3"
"2","10",12147.0605476309,61825.7197808437,52,103,0.944395329337567,51,2.83583820378408,"Q4"
"3","100",12364.5980970818,61819.7085343024,70,103,0.708324457053095,33,9.62529291724786,"Q4"
"4","1000",13615.7025896885,61795.4228757388,59,95,0.418112731305882,36,20.9479416729882,"Q2"
"5","1001",12404.0713441271,61816.6228844448,62,96,0.60811813455075,34,13.3239834252745,"Q3"
"6","1002",18391.5418581113,61711.9001602345,51,104,0.107593626715243,53,47.2975377840921,"Q1"
"7","1003",14029.5288138994,61785.9026864871,69,108,0.422971341526136,39,22.5041176804807,"Q2"
"8","1004",16873.8473776208,61729.5926323393,59,110,0.241349276155233,51,38.6911869160831,"Q1"
"9","1005",12342.6305716135,61820.2297071721,57,101,0.760145846288651,44,10.5535827632993,"Q4"
"10","1006",15287.7184136905,61739.8633265157,47,123,0.466656405711547,76,40.5341131659225,"Q1"
"11","1007",12128.4055372163,61825.8687340598,54,94,0.944121221313253,40,2.23515114746988,"Q4"
"12","1008",12446.2081368406,61819.3015201275,59,126,0.829613182460889,67,11.4159167751204,"Q4"
"13","1009",14435.3327095978,61772.5182826614,71,119,0.450890612788498,48,26.3572505861521,"Q2"
"14","101",12409.7979798394,61811.8444313282,45,80,0.50493949255906,35,17.3271177604329,"Q3"
"15","1010",12859.8361163081,61804.3513581451,70,118,0.573947626864538,48,20.4505139105022,"Q3"
"16","1011",15457.559813945,61755.9066518671,48,101,0.372339326655492,53,33.2660156872589,"Q2"
"17","1012",12383.7219739362,61817.3107408107,57,95,0.645172578981146,38,13.4834419987164,"Q3"
"18","1013",18989.9391625352,61692.6784672761,46,104,0.132100927643478,58,50.3381461966783,"Q1"
"19","1014",16245.2370750309,61756.6498541041,55,96,0.17516591376625,41,33.8181975355837,"Q2"
"20","1015",12973.066732989,61803.2723097329,88,129,0.585797700798139,41,16.9822942672763,"Q3"
"21","1016",12558.3838501055,61804.4177514856,44,98,0.536231962032616,54,25.0434740502387,"Q3"
"22","1017",18591.7691759877,61705.2994053831,47,102,0.126784934429452,55,48.0268286063801,"Q1"
"23","1018",12392.4481186819,61819.2072550435,58,107,0.760911837220192,49,11.7153199762106,"Q4"
"24","1019",16630.734683402,61742.97748431,60,105,0.193873230135068,45,36.2757046439219,"Q1"
"25","102",12321.8520159603,61818.3927434817,55,87,0.617568749934435,32,12.2378000020981,"Q3"
"26","1020",12301.7315416751,61822.6333477523,63,116,0.865796463564038,53,7.11278743110597,"Q4"
