"","infolag","type","measure","values"
"1",0.85,"decentralized","losses",9615
"2",0.85,"decentralized","casesp100k",61663
"3",0.85,"lockdown","losses",12434
"4",0.85,"lockdown","casesp100k",61603
"5",0.85,"coordinated","losses",1409
"6",0.85,"coordinated","casesp100k",61466
