I,daily_new_cases,aggregate_consumption_deviation,total_contacts,weighted_labor_S,weighted_labor_I,weighted_labor_R,prob_contact_I_weighted,type
0.02098312256764696,0.004057138424864921,-64.8719413724897,6.8318010891159275,2.0541286061890003,0.16202321870111971,0.6150373724687295,0.03439291400891735,blanket_1
0.020934959821981087,0.004038531509361185,-64.46806767809899,6.847017767504273,2.0543345423557584,0.16165132543484792,0.6474310310076878,0.034454986268343125,blanket_1
0.020879714276824474,0.004020723966900412,-64.03814084013202,6.865865828883109,2.0567440344466705,0.16122474165721237,0.6797503360974697,0.03449799688981076,blanket_1
0.020819037435784206,0.0040034947906503315,-63.58918159095603,6.887485680819491,2.0607959436112595,0.1607562196132657,0.7119843533412775,0.03452452738688543,blanket_1
0.020754170498272426,0.003986678125285133,-63.12644769428499,6.911231021685625,2.066070205054102,0.16025534332272637,0.7441246979268076,0.034536595086362414,blanket_1
0.020686046579748978,0.003970150179080939,-62.65387574322365,6.936616117422275,2.0722524735432435,0.15972931784429442,0.7761649012003168,0.03453579078815131,blanket_1
0.020615367780052418,0.003953818891512387,-62.17441460945987,6.963275802311829,2.0791074373451863,0.1591835645446665,0.80809993504788,0.03452338109346177,blanket_1
0.02054266304883252,0.003937615958812308,-61.69027562345829,6.99093531649925,2.086458795939269,0.1586221677915626,0.8399258552544239,0.034500385147446404,blanket_1
0.0204683315288648,0.003921490778781361,-61.20311955408273,7.01938766175391,2.09417429578361,0.1580482096734543,0.8716395341951738,0.03446763264199677,blanket_1
0.02039267498001776,0.003905405896752943,-60.714196049230054,7.0484766371205385,2.1021545711933185,0.1574640202571788,0.9032384604403344,0.034425807847833806,blanket_1
0.02031592202783821,0.003889333608019235,-60.22444750326621,7.0780841515741475,2.110324832364598,0.15687136489577763,0.9347205884157577,0.03437548318875291,blanket_1
0.02023824630262823,0.003873253432089661,-59.734586414103404,7.108120734552722,2.1186286753422765,0.15627158429115517,0.9660842254984768,0.03431714487984277,blanket_1
0.020159780018285407,0.0038571502406671,-59.245153015194454,7.138518436725706,2.127023470749376,0.1556656993155553,0.9973279471152734,0.03425121253282911,blanket_1
0.020080624149357854,0.003841012873613669,-58.756558245297875,7.169225516747148,2.135476925917869,0.15505448962691976,1.0284505328042004,0.034178054168990835,blanket_1
0.020000856068430474,0.003824833115181016,-58.269115826101306,7.200202457961103,2.1439645187375644,0.1544385526163961,1.0594509179874052,0.034097997706328445,blanket_1
0.01992053528866796,0.003808604939842146,-57.78306623825329,7.2314189829521975,2.152467579644274,0.1538183478922525,1.0903281575345147,0.03401133977492139,blanket_1
0.01983970778537649,0.003792323950300287,-57.298594680775395,7.262851801866569,2.1609718553177446,0.153194230460904,1.1210813981913337,0.0339183524218549,blanket_1
0.01975840925668369,0.0037759869649400765,-56.81584453157404,7.294482922679317,2.1694664320949593,0.15256647596864242,1.1517098576801574,0.03381928826180319,blanket_1
0.01967666758793178,0.003759591711694229,-56.334927463759186,7.326298375247435,2.1779429269609385,0.15193529973458014,1.1822128088339037,0.03371438440431259,blanket_1
0.019594504717756412,0.003743136600953011,-55.85593106115317,7.358287246641318,2.186394878587731,0.15130087114982096,1.2125895675347669,0.03360386544560617,blanket_1
0.019511938053861633,0.0037266205569368694,-55.37892456177167,7.390440950466534,2.194817288101992,0.1506633245942471,1.2428394835337182,0.03348794574312268,blanket_1
0.01942898155076188,0.0037100428940672918,-54.90396319634356,7.422752675265562,2.203206272102072,0.1500227678549814,1.272961933455669,0.0333668311571778,blanket_1
0.0193456465299,0.003693403222539403,-54.431091478537375,7.455216960632191,2.2115587996584756,0.1493792883734854,1.3029563154684543,0.033240720347462574,blanket_1
0.019261942305498214,0.003676701378580294,-53.9603456977518,7.487829375529955,2.219872493020048,0.1487329580511813,1.3328220452179063,0.03310980575367662,blanket_1
0.019177876664227357,0.003659937373678829,-53.49175581213079,7.520586274921399,2.2281454761847206,0.14808383701361572,1.3625585527291137,0.03297427434275444,blanket_1
0.019093456232805544,0.0036431113556461858,-53.0253468931601,7.553484611562668,2.2363762593800396,0.14743197642964756,1.3921652800481978,0.032834308158463325,blanket_1
0.019008686760515352,0.0036262235797292334,-52.56114022716353,7.586521792147037,2.2445636509455804,0.1467774206929316,1.4216416794515783,0.03269008473084957,blanket_1
0.01892357333718015,0.003609274387413619,-52.09915415706852,7.619695567506083,2.2527066899423267,0.14612020913238402,1.4509872120913943,0.03254177738207128,blanket_1
0.01883812056088639,0.003592264189534283,-51.63940472876482,7.653003946138851,2.2608045944365363,0.14546037726416045,1.4802013469774349,0.0323895554410345,blanket_1
0.018752332667176918,0.003575193453446013,-51.18190618558983,7.686445127315508,2.2688567219183997,0.1447979577461013,1.5092835602179935,0.03223358439601062,blanket_1
0.018666213630609586,0.0035580626955478882,-50.72667134521276,7.720017453408246,2.2768625389781096,0.14413298126545868,1.5382333344601786,0.032074026023895766,blanket_1
0.016776735224111876,0.001587754189006069,-84.40035387709044,3.841635786634001,0.9831059820316717,0.021032251751396405,0.24577482225279862,0.01987509727324148,blanket_1
0.015074933486821497,0.0014238066364601599,-84.39726983863167,3.841635786634001,0.9811154847521703,0.018898778099251442,0.24983693362047027,0.017902536917007352,blanket_1
0.013542870812140183,0.0012767783312369297,-84.39449209096897,3.841635786634001,0.9793305212760645,0.01697809881079823,0.253486991743561,0.016118130027244368,blanket_1
0.012164184278251585,0.0011449258392208512,-84.39199136976832,3.841635786634001,0.9777298806904808,0.015249700413872339,0.2567660951413328,0.014505453674483788,blanket_1
0.01092397594526624,0.001026684659022798,-84.38974097695609,3.841635786634001,0.9762945377488718,0.013694906019427916,0.25971138041734543,0.013049203839558371,blanket_1
0.009808704536589772,9.206510553840125e-4,-84.38771660274287,3.841635786634001,0.9750074285509612,0.012296739527254543,0.2623563769720781,0.011735189320913999,blanket_1
0.008806080192642455,8.255656823924439e-4,-84.38589614961549,3.841635786634001,0.9738532489973497,0.011039793683365244,0.26473133548861644,0.010550305882898273,blanket_1
0.00790496348432069,7.402988353922692e-4,-84.38425956113078,3.841635786634001,0.9728182737749694,0.009910103477634748,0.2668635309353056,0.009482496370090465,blanket_1
0.007095269479650078,6.638371806137592e-4,-84.38278865750614,3.841635786634001,0.971890193831569,0.008895025876400795,0.2687775411167704,0.008520701290940465,blanket_1
0.0063678773505285256,5.952718224183589e-4,-84.38146697934403,3.841635786634001,0.9710579704866753,0.007983126500431557,0.2704955019968204,0.007654803374855695,blanket_1
0.005714545770882466,5.337875790892779e-4,-84.38027964031559,3.841635786634001,0.9703117045021218,0.007164073563331823,0.2720373411346488,0.00687556879656576,blanket_1
0.005127834179210475,4.786533489332415e-4,-84.37921318923594,3.841635786634001,0.9696425185970454,0.006428539161872551,0.2734209906365864,0.006174587109474047,blanket_1
0.004601029845945583,4.292134588590617e-4,-84.37825548166676,3.841635786634001,0.9690424520404758,0.0057681078435651905,0.27466258104334024,0.005544211408801599,blanket_1
0.004128080589913353,3.8487989742163345e-4,-84.37739556096086,3.841635786634001,0.9685043660898293,0.005175192256257763,0.27577661755822486,0.0049774998323554075,blanket_1
0.003703532920685308,3.4512534348946474e-4,-84.37662354850333,3.841635786634001,0.9680218591664924,0.004642955599936241,0.2767761399841884,0.004468159181910852,blanket_1
0.003322475338550202,3.094769101784676e-4,-84.37593054279132,3.841635786634001,0.9675891907710572,0.004165240544403544,0.2776728676833918,0.0040104911948445334,blanket_1
0.0029804864960717666,2.775105314932622e-4,-84.3753085269195,3.841635786634001,0.96720121324151,0.0037365042417147184,0.27847733080814424,0.003599341799938504,blanket_1
0.0026735879106882113,2.4884592624827657e-4,-84.37475028399118,3.841635786634001,0.9668533105486403,0.0033517590440520985,0.27919898898031853,0.003230053541759992,blanket_1
0.002398200913272132,2.2314208033547418e-4,-84.37424931995108,3.841635786634001,0.966541343404959,0.0030065185320368804,0.27984633852117957,0.002898421245319612,blanket_1
0.002151107520416992,2.0009319430180328e-4,-84.37379979332687,3.841635786634001,0.9662616000372982,0.0026967484620433533,0.2804270092572691,0.0026006509091738993,blanket_1
0.0019294149264017374,1.7942504853927575e-4,-84.37339645137175,3.841635786634001,0.9660107520397541,0.002418822251343692,0.28094785185238924,0.0023333217545590174,blanket_1
0.001730523322705378,1.608917432169406e-4,-84.37303457211233,3.841635786634001,0.9657858147834302,0.0021694806348551217,0.28141501654210954,0.002093351315512093,blanket_1
0.001552096767352636,1.4427277443945896e-4,-84.3727099118261,3.841635786634001,0.9655841119131842,0.0019457951453255584,0.2818340240764884,0.0018779634262306335,blanket_1
0.0013920368423111856,1.2937041204255556e-4,-84.37241865749534,3.841635786634001,0.9654032435098655,0.0017451350887763477,0.2822098296094581,0.0016846589439204612,blanket_1
0.0012484588539005673,1.1600734797020357e-4,-84.37215738381104,3.841635786634001,0.9652410575398951,0.0015651377080063914,0.2825468802099375,0.001511189035526751,blanket_1
0.001119670348164777,1.0402458735839318e-4,-84.37192301432671,3.841635786634001,0.9650956242529696,0.001403681248263957,0.2828491666104054,0.0013555308530016736,blanket_1
0.0010041517300006647,9.327955730947393e-5,-84.37171278639042,3.841635786634001,0.9649652132236227,0.0012588606603042003,0.28312026975345245,0.0012158654225363373,blanket_1
9.005387912315768e-4,8.364441091039211e-5,-84.37152421951028,3.841635786634001,0.9648482727637309,0.0011289656966070045,0.28336340264568766,0.0010905575772208215,blanket_1
8.076069685671498e-4,7.50045063560876e-5,-84.37135508683554,3.841635786634001,0.9647434114611971,0.0010124611762766596,0.2835814479812088,9.781377689180321e-4,blanket_1
7.24257167361051e-4,6.725704311176729e-5,-84.37120338946116,3.841635786634001,0.9646493816252906,9.079692129132505e-4,0.2837769919534897,8.772856029904543e-4,blanket_1
6.495030011863375e-4,6.030983890826417e-5,-84.3710673332881,3.841635786634001,0.9645650644417693,8.142532174320423e-4,0.2839523546348073,7.868149483254249e-4,blanket_1
5.824593104502216e-4,5.408023303453709e-5,-84.37094530819445,3.841635786634001,0.9644894566612291,7.302035043580613e-4,0.2841096172660172,7.056604844259029e-4,blanket_1
5.223318355533426e-4,4.8494102889842e-5,-84.37083586929425,3.841635786634001,0.9644216586623477,6.548243455221159e-4,0.2842506467663687,6.328655568416998e-4,blanket_1
4.684079314719408e-4,4.3484982102605985e-5,-84.370737720081,3.841635786634001,0.9643608637480326,5.872223293426997e-4,0.2843771177429058,5.6757122166919e-4,blanket_1
4.2004822112906814e-4,3.8993269729247995e-5,-84.37064969727072,3.841635786634001,0.9643063485471447,5.265958970262327e-4,0.2844905322516122,5.090063690717903e-4,blanket_1
3.766790945584988e-4,3.496552112823606e-5,-84.37057075717769,3.841635786634001,0.9642574644076145,4.722259391002456e-4,0.2845922375376065,4.5647882464762993e-4,blanket_1
3.377859696948723e-4,3.135381207526169e-5,-84.3704999634706,3.841635786634001,0.9642136296785588,4.2346734676372073e-4,0.2846834419591778,4.093673359139956e-4,blanket_1
3.02907238692708e-4,2.8115168555974636e-5,-84.37043647617193,3.841635786634001,0.9641743227895769,3.797414226546938e-4,0.28476522928007236,3.671143591404874e-4,blanket_1
2.716288310344261e-4,2.521105545352691e-5,-84.3703795417763,3.841635786634001,0.9641390760448914,3.405290648589824e-4,0.28483857149601643,3.2921956921790524e-4,blanket_1
2.4357933138316354e-4,2.2606918048450116e-5,-84.37032848437576,3.841635786634001,0.9641074700584981,3.0536464637795515e-4,0.28490434034481765,2.9523402218874874e-4,blanket_1
2.184255962192286e-4,2.0271770876420622e-5,-84.37028269769029,3.841635786634001,0.9640791287641183,2.7383051989931313e-4,0.2849633176343632,2.6475490649174627e-4,blanket_1
1.9586881881736905e-4,1.817782905269111e-5,-84.3702416379128,3.841635786634001,0.9640537149405809,2.4555208463294064e-4,0.28501620450928494,2.3742082490009177e-4,blanket_1
1.7564099712155638e-4,1.630017767706211e-5,-84.37020481728584,3.841635786634001,0.9640309261993972,2.2019335824157197e-4,0.2850636297648464,2.1290755458056398e-4,blanket_1
1.5750176359831326e-4,1.4616475386224018e-5,-84.37017179833587,3.841635786634001,0.9640104913867882,1.9745300256796594e-4,0.28510615730560485,1.9092423769212583e-4,blanket_1
1.4123554023976994e-4,1.3106688526495707e-5,-84.37014218869857,3.841635786634001,0.9639921673573548,1.7706075698793004e-4,0.28514429283649295,1.712099595042523e-4,blanket_1
1.26648985581997e-4,1.1752852784243148e-5,-84.37011563647476,3.841635786634001,0.963975736081005,1.5877423784999538e-4,0.28517848986504846,1.5353067517475768e-4,blanket_1
1.1356870393839757e-4,1.0538859437907705e-5,-84.37009182606312,3.841635786634001,0.9639610020487125,1.42376066642527e-4,0.285209155085496,1.3767645011232655e-4,blanket_1
1.0183919005505084e-4,9.450263688489888e-6,-84.3700704744208,3.841635786634001,0.9639477899462437,1.276712932989334e-4,0.28523665320817104,1.2345898228808083e-4,blanket_1
9.132098510529545e-5,8.47411278800217e-6,-84.37005132770844,3.841635786634001,0.9639359425681718,1.1448508444954446e-4,0.2852613112912886,1.1070937798037939e-4,blanket_1
8.188902238245535e-5,7.598791920946085e-6,-84.37003415828005,3.841635786634001,0.9639253189473572,1.026606494896692e-4,0.2852834226262264,9.927615526358166e-5,blanket_1
7.343114324801802e-5,6.8138860050849295e-6,-84.37001876198268,3.841635786634001,0.9639157926776419,9.205738008939255e-5,0.28530325022225533,8.902345210936009e-5,blanket_1
6.584676587113861e-5,6.110055767185518e-6,-84.37000495573386,3.841635786634001,0.963907250409796,8.25491812511071e-5,0.28532102993193925,7.982941828151518e-5,blanket_1
5.904569107535576e-5,5.47892661924297e-6,-84.36999257534853,3.841635786634001,0.9638995905028239,7.402297425229848e-5,0.2853369732542005,7.15847722938262e-5,blanket_1
5.294703120923484e-5,4.912989013001412e-6,-84.36998147358983,3.841635786634001,0.9638927218145813,6.637735381799357e-5,0.28535126984824727,6.419150658542882e-5,blanket_1
4.7478249396896074e-5,4.405509087152432e-6,-84.36997151842054,3.841635786634001,0.9638865626173124,5.952138367159366e-5,0.2853640897881513,5.7561725768209094e-5,blanket_1
4.2574297817990446e-5,3.950448544056225e-6,-84.36996259143484,3.841635786634001,0.963881039625206,5.337351623455118e-5,0.2853755855848016,5.161660433294243e-5,blanket_1
3.8176844829107356e-5,3.542392802644822e-6,-84.36995458645175,3.841635786634001,0.9638760871223978,4.786062370262437e-5,0.2853858939992116,4.628545158117652e-5,blanket_1
3.423358178290759e-5,3.1764865726386357e-6,-84.36994740825341,3.841635786634001,0.9638716461810447,4.291712903564919e-5,0.28539513766869146,4.1504872792625934e-5,blanket_1
3.069760133928983e-5,2.848376083508346e-6,-84.36994097145363,3.841635786634001,0.9638676639601662,3.848422657371503e-5,0.2854034265651817,3.721801675632107e-5,blanket_1
2.7526839905290364e-5,2.55415728079447e-6,-84.36993519948305,3.841635786634001,0.963864093076912,3.4509183048700124e-5,0.28541085930305915,3.337390079997813e-5,blanket_1
2.468357759681221e-5,2.290329373398682e-6,-84.36993002367902,3.841635786634001,0.9638608910427722,3.09447107083831e-5,0.2854175243119421,2.9926805356980182e-5,blanket_1
2.213398979436536e-5,2.0537531791288682e-6,-84.36992538246938,3.841635786634001,0.963858019758024,2.7748405121686902e-5,0.28542350088842205,2.6835730923931572e-5,blanket_1
1.9847744974599057e-5,1.8416137728715298e-6,-84.36992122064034,3.841635786634001,0.9638554450583985,2.4882240997838646e-5,0.28542886013921515,2.4063910992988477e-5,blanket_1
1.779764404656881e-5,1.651386992959683e-6,-84.36991748868019,3.841635786634001,0.9638531363085743,2.231212003818178e-5,0.28543366582693724,2.1578375200248006e-5,blanket_1
1.595929691275029e-5,1.4808094072109826e-6,-84.36991414219038,3.841635786634001,0.9638510660376598,2.0007465455008795e-5,0.28543797512855246,1.9349557521788824e-5,blanket_1
1.4310832415500428e-5,1.327851381275584e-6,-84.36991114135766,3.841635786634001,0.9638492096123283,1.7940858344254107e-5,0.285441839315508,1.735094487917804e-5,blanket_1
1.2832638225109259e-5,1.1906929288460843e-6,-84.36990845048054,3.841635786634001,0.9638475449437164,1.6087711594636467e-5,0.2854453043636392,1.555876199242626e-5,blanket_1
1.1507127580404505e-5,1.0677020563818554e-6,-84.36990603754478,3.841635786634001,0.9638460522245965,1.4425977460660353e-5,0.28544841150009426,1.3951688745927479e-5,blanket_1
1.0318530111216847e-5,9.574153446811162e-7,-84.36990387384256,3.841635786634001,0.9638447136936996,1.2935885325982175e-5,0.28545119769378025,1.2510606716773783e-5,blanket_1
9.252704257620148e-6,8.585205362492674e-7,-84.36990193363107,3.841635786634001,0.9638435134243808,1.1599706541699106e-5,0.28545369609516186,1.1218371859408493e-5,blanket_1
8.29696905708115e-6,7.698409212780602e-7,-84.3699001938263,3.841635786634001,0.9638424371351141,1.0401543545330326e-5,0.285455936430641,1.0059610649861616e-5,blanket_1
7.439953300500159e-6,6.903213364510026e-7,-84.3698986337284,3.841635786634001,0.9638414720195628,9.32714075440954e-6,0.28545794535620805,9.02053727038462e-6,blanket_1
6.671460264304071e-6,6.190156099807091e-7,-84.36989723477552,3.841635786634001,0.9638406065942019,8.363714987086163e-6,0.2854597467745695,8.088789664396008e-6,blanket_1
5.982346410695745e-6,5.550753034919636e-7,-84.36989598032308,3.841635786634001,0.9638398305616799,7.499803393987006e-6,0.28546136211952283,7.2532825151688415e-6,blanket_1
5.364412614051287e-6,4.977396167948612e-7,-84.36989485544551,3.841635786634001,0.9638391346882952,6.725127093556184e-6,0.2854628106109627,6.5040754022476365e-6,blanket_1
4.810306620247856e-6,4.4632633542912107e-7,-84.36989384675897,3.841635786634001,0.963838510694128,6.030468889623755e-6,0.2854641094835484,5.832254569522317e-6,blanket_1
5.6164157579436705e-6,2.0424499087120768e-06,-0.35595013455342883,15.056692767947904,6.1443548456934245,4.3367699718958874e-5,1.82011484766574,6.357214170833131e-6,blanket_1
