time,S,I,R,D,labor_S,labor_I,labor_R,consumption_S,consumption_I,consumption_R,aggregate_labor_supply,aggregate_consumption,weekly_new_cases,newly_recovered,newly_dead,newly_infected_per_I,prob_infection_S,infection_growth_rate,Reff,consumption_contacts,labor_contacts,other_contacts,total_cases,aggregate_hours_deviation,aggregate_consumption_deviation
1,0.999999,0.000001,0,0,7.99211691322357,7.865150401341,7.99211691714542,136.865003507604,115.222938917393,136.865003574765,7.99211678625705,136.864981865539,0.000000479736261589322,0.000000193137254901961,0.00000000294117647058824,0.479736261589322,0.000000479736741326064,0.283657830216773,2.44665493410554,4.34177481048875,7.38060709521346,3.548544,0.000000479736261589322,0,0
2,0.999998520263738,0.00000128365783021677,0.000000193137254901961,0,7.99211691322357,7.865150401341,7.99211691714542,136.865003507604,115.222938917393,136.865003574765,7.99211672673578,136.864975324054,0.000000615816913197915,0.000000247922149561475,0.00000000377546420651992,0.479736031442211,0.00000061581782444588,0.283657600069662,2.44665376035528,4.34177481048875,7.38060709521346,3.548544,0.00000109555317478724,-0.000000744749761860675,-0.00000477951710431412
3,0.999997904463832,0.00000164776012240502,0.000000441059404463436,0.00000000377546420651992,7.99211691314304,7.8648674324553,7.99211691714542,136.865003506225,115.218793477704,136.865003574765,7.99211664978624,136.86496691919,0.00000079046758387073,0.000000318243866778224,0.00000000484635330119123,0.479722486982504,0.000000790469240327613,0.283644055609955,2.44658468361077,4.34161860400045,7.38034155893713,3.548544,0.00000188602075865797,-0.0000017075677982703,-0.0000109205064546813
4,0.999997114024271,0.00000211510946369064,0.00000075930327124166,0.00000000862181750771115,7.99211691303967,7.86450421449013,7.99211691714542,136.865003504454,115.213472404453,136.865003574765,7.99211655071205,136.864956126527,0.00000101462879971055,0.000000408506435634368,0.00000000622091018732541,0.479705101380488,0.00000101463172791309,0.283626670007939,2.44649601704049,4.34141809784697,7.38000071741411,3.548544,0.00000290064955836851,-0.00000294721677063237,-0.0000188061341721557
5,0.999996099441642,0.00000271496474717229,0.00000116780970687603,0.0000000148427276950366,7.99211691290698,7.86403800024097,7.99211691714542,136.865003502182,115.206642455474,136.865003574765,7.99211642304621,136.864942266501,0.00000130232185341024,0.000000524360838424451,0.00000000798519043285967,0.479682785850773,0.00000130232693321245,0.283604354478224,2.44638220783894,4.34116073495537,7.37956322480644,3.548544,0.00000420297141177876,-0.00000454461379639781,-0.0000289329214364642
6,0.999994797195856,0.00000348486450416899,0.00000169217054530048,0.0000000228279181278962,7.99211691273667,7.86343960187835,7.99211691714542,136.865003499265,115.197876034685,136.865003574765,7.99211625836407,136.864924465375,0.00000167152969840327,0.000000673057164040482,0.00000001024960148285,0.479654143340035,0.00000167153839509016,0.283575711967486,2.44623613103418,4.34083040285334,7.379001691433,3.548544,0.00000587450111018203,-0.00000660517111006342,-0.000041939262529489
7,0.999993125791474,0.000004472962120538,0.00000236522770934096,0.0000000330775196107462,7.99211691251806,7.86267157204407,7.99211691714542,136.865003495522,115.1866245455,136.865003574765,7.99211604564833,136.864901599255,0.00000214531037968992,0.000000863895625241162,0.0000000131557709427588,0.47961738147514,0.0000021453251271022,0.283538950102591,2.44604864552321,4.34040642958498,7.37828097692127,3.548544,0.00000801981148987195,-0.00000926674046386466,-0.000058646326339673
8,0.999990980687529,0.0000057410146694101,0.00000322912333458212,0.000000046233290553505,7.99211691223747,7.8616858743066,7.99211691714542,136.865003490717,115.172184263446,136.865003574765,7.99211577042289,136.86487222166,0.00000275321955939147,0.00000110880381360175,0.0000000168853372629709,0.479570201076384,0.00000275324439176295,0.283491769703835,2.44580802548956,4.33986229773919,7.37735600417693,3.548544,0.0000107730310492634,-0.0000127104519354049,-0.0000801109806158884
9,0.999988227807996,0.00000736820505167128,0.00000433792714818388,0.0000000631186278164759,7.99211691187734,7.8604209015876,7.99211691714542,136.86500348455,115.153652656687,136.865003574765,7.99211541355648,136.86483446959,0.00000353312545104436,0.00000142307489723455,0.0000000216711913284449,0.479509653472927,0.00000353316704416519,0.283431222100378,2.44549923271193,4.3391639985403,7.37616896149348,3.548544,0.0000143061565003078,-0.0000171756821543134,-0.000107694420647952
10,0.999984695242541,0.00000945602441749582,0.00000576100204541843,0.0000000847898191449208,7.99211691141516,7.85879766330461,7.99211691714542,136.865003476635,115.129872528402,136.865003574765,7.99211494958875,136.864785941403,0.00000453352030182975,0.00000182631059828106,0.0000000278118365220465,0.479431958048003,0.00000453358968732033,0.283353526675454,2.44510298604481,4.33826792704758,7.37464572459023,3.548544,0.0000188396768021375,-0.0000229809992924324,-0.000143151398646069
11,0.999980162644355,0.0000121345001689962,0.00000758731264369949,0.000000112601655666967,7.99211691082203,7.85671491480786,7.99211691714542,136.865003466477,115.099360663965,136.865003574765,7.99211434435471,136.864723537512,0.00000581645750147658,0.00000234362405224731,0.0000000356897063794007,0.479332269188778,0.00000581657288690157,0.283253837816229,2.44459457286277,4.33711819347252,7.37269128610549,3.548544,0.0000246561343036141,-0.0000305538871092637,-0.000188746620011226
12,0.999974347704922,0.0000155701258429904,0.0000099309366959468,0.000000148291362046368,7.99211691006093,7.85404294450413,7.99211691714542,136.865003453444,115.060216813512,136.865003574765,7.99211355156385,136.864643251731,0.00000746127248614552,0.00000300717136379325,0.0000000457944877735013,0.479204379038756,0.00000746146388981893,0.283125947666207,2.44394233309765,4.3356431935029,7.37018392547155,3.548544,0.0000321174067897596,-0.0000404735477022022,-0.00024740719177796
13,0.999966888930924,0.000019975933989407,0.0000129381080597401,0.000000194085849819869,7.99211690908441,7.85061566323399,7.99211691714542,136.86500343672,115.01000780284,136.865003574765,7.99211250780193,136.864539896668,0.00000956927819159979,0.00000385809705481685,0.0000000587527470276677,0.47904033907372,0.00000956959505112255,0.282961907701171,2.44310572927597,4.33375124142484,7.3669677856346,3.548544,0.0000416866849813594,-0.0000535334409357269,-0.000322923267481734
14,0.999957323763366,0.0000256242517455392,0.0000167962051145569,0.000000252838596847537,7.99211690783166,7.84622055585826,7.99211691714542,136.865003415267,114.945620326079,136.865003574765,7.99211112512511,136.86440674018,0.0000122696599378599,0.00000494899764105023,0.0000000753654463104095,0.478829979493776,0.000012270183583118,0.282751548121227,2.44203289541826,4.33132502312645,7.36284344368476,3.548544,0.0000539563449192193,-0.0000708339492394572,-0.00042021366702949
15,0.999945060863359,0.0000328627886651915,0.0000217452027556071,0.000000328204043157947,7.99211690622484,7.84058595666432,7.99211691714542,136.86500338775,114.863074532849,136.865003574765,7.9921092799442,136.864235020825,0.0000157268260271483,0.00000634702879121835,0.0000000966552607799749,0.478560300751539,0.0000157276900928634,0.28248186937899,2.44065753383285,4.32821457177756,7.35755597017519,3.548544,0.0000696831709463676,-0.0000939214610973238,-0.000545679913288577
16,0.999929345147531,0.0000421348204417536,0.0000280922315468255,0.000000424859303937922,7.99211690416439,7.8333650006109,7.99211691714542,136.865003352465,114.757288917087,136.865003574765,7.99210679615035,136.864013296979,0.0000201494907845349,0.00000813780355590731,0.000000123925942475746,0.478214706346957,0.0000201509145444292,0.282136274974407,2.43889500236948,4.32422840848234,7.35077986906826,3.548544,0.0000898326617309026,-0.000124999508543944,-0.000707681794664961
17,0.99990921390309,0.000054004335384385,0.0000362300351027328,0.000000548785246413667,7.99211690152305,7.82411548862697,7.99211691714542,136.865003307232,114.621785347548,136.865003574765,7.99210341925689,136.863726565,0.0000258017615211825,0.0000104302490889449,0.000000158836280542309,0.477772040661812,0.0000258041041750848,0.281693609289263,2.43663740737524,4.31912242737918,7.34210018345515,3.548544,0.000115634423252085,-0.000167252312710531,-0.000917181678938839
