time,S,I,R,D,labor_S,labor_I,labor_R,consumption_S,consumption_I,consumption_R,aggregate_labor_supply,aggregate_consumption,weekly_new_cases,newly_recovered,newly_dead,newly_infected_per_I,prob_infection_S,infection_growth_rate,Reff,consumption_contacts,labor_contacts,other_contacts,total_cases,aggregate_hours_deviation,aggregate_consumption_deviation
1,0.999999,0.000001,0,0,8.01852290051361,7.82984273227729,8.01951874089996,148.302582528025,123.882143433363,148.321000596155,8.01852271183344,148.302558107586,0.000000479294367235135,0.000000193137254901961,0.00000000294117647058824,0.479294367235135,0.000000479294846529982,0.283215935862586,2.44440127289919,4.33656487069285,7.37175068964163,3.548544,0.000000479294367235135,0,0
2,0.999998520705633,0.00000128321593586259,0.000000193137254901961,0,8.01852290051361,7.82984273227729,8.01951874089996,148.302582528025,123.882143433363,148.321000596155,8.01852263500466,148.302550758702,0.000000615037875220675,0.000000247836803298951,0.0000000037741645172429,0.479294137511815,0.000000615038785044085,0.283215706139266,2.44440010131026,4.33656487069285,7.37175068964163,3.548544,0.00000109433224245581,-0.00000095814141065631,-0.0000049553321446183
3,0.999997905684712,0.00000164662588873729,0.000000440974058200911,0.0000000037741645172429,8.0182348630409,7.82984273227729,8.01951874090101,148.297255274914,123.882143433363,148.321000596174,8.01823449955051,148.297214086963,0.00000078919589367907,0.000000318024804001221,0.00000000484301731981555,0.479280630213013,0.000000789197546507557,0.283202198840464,2.44433121408637,4.3364090947225,7.37148588520515,3.548544,0.00000188352813613488,-0.00359433144093702,-0.00360345815407781
4,0.999997116516735,0.00000211292604466988,0.000000758998862202133,0.00000000861718183705845,8.01786526630876,7.82984273227729,8.01951874090235,148.290419583285,123.882143433363,148.321000596199,8.01786477761267,148.290366319619,0.00000101264790518604,0.000000408084736078398,0.00000000621448836667612,0.479263298278032,0.00000101265082514775,0.283184866905483,2.44424282121796,4.33620921000248,7.37114610006032,3.548544,0.00000289617604132092,-0.00820517998655346,-0.00822088851473168
5,0.999996103914794,0.0000027112287614373,0.00000116708359828053,0.0000000148316702037346,8.01739102774576,7.82984273227729,8.01951874090407,148.281648540974,123.882143433363,148.321000596231,8.01739037925078,148.281579798874,0.00000129933214360593,0.000000523639280395243,0.00000000797420223952147,0.47924105928897,0.0000012993372059344,0.283162627916421,2.44412940237375,4.33595273305303,7.37071011347062,3.548544,0.00000419550818492686,-0.0141214613134322,-0.0141456148695318
6,0.999994804658325,0.00000347887174706391,0.00000169072287867577,0.000000022805872443256,8.01678253937829,7.82984273227729,8.01951874090628,148.270394548505,123.882143433363,148.321000596272,8.01678168725634,148.270305972943,0.00000166711891350534,0.000000671899739383912,0.0000000102319757266586,0.479212524840086,0.00000166712757480271,0.283134093467537,2.44398387668444,4.33562365133669,7.37015070563477,3.548544,0.0000058626270984322,-0.0217125353343839,-0.021747524152127
7,0.999993137663996,0.00000446373436084523,0.00000236262261805969,0.0000000330378481699146,8.0160018278521,7.8298427322773,8.01951874090911,148.255955288684,123.882143433363,148.321000596324,8.01600071678856,148.255841310036,0.00000213891399339069,0.000000862113401065207,0.0000000131286304730742,0.479175914264234,0.00000213892867143792,0.283097482891685,2.44379716274759,4.3352014281641,7.36943296612053,3.548544,0.00000800154109182289,-0.0314521157514625,-0.0315010058805187
8,0.999990998955091,0.00000572720123482787,0.00000322473601912489,0.0000000461664786429888,8.01500019869807,7.8298427322773,8.01951874091275,148.237430157295,123.882143433363,148.321000596391,8.01499875923724,148.237283659567,0.00000274406788075202,0.00000110613592476578,0.0000000168447095141996,0.479128944180445,0.00000274409258045257,0.283050512807896,2.44355761532027,4.33465972866948,7.36851212814344,3.548544,0.0000107456089725749,-0.0439476537367867,-0.0440143776695101
9,0.999988255224786,0.00000734795090546141,0.00000433087194389067,0.0000000630111881571884,8.01371522225728,7.82984273227732,8.01951874091741,148.213664517785,123.882143433363,148.321000596478,8.01371336778208,148.21347642078,0.00000352017319374904,0.00000141916306703519,0.0000000216116203101806,0.479068687180892,0.00000352021453787749,0.282990255808343,2.44325030462255,4.33396478974346,7.36733079760651,3.548544,0.0000142657821663239,-0.0599779313996018,-0.0600675321740019
10,0.999984735607172,0.00000942679383257502,0.00000575003501092586,0.0000000846228084673691,8.01206688055076,7.82984273227733,8.01951874092339,148.183178437618,123.882143433363,148.321000596588,8.01206450404124,148.182937173744,0.00000451535309232971,0.00000182066508335027,0.000000027725864213456,0.478991391190348,0.00000451542201750517,0.282912959817799,2.44285609507078,4.33307333618924,7.36581541076252,3.548544,0.0000187811352586536,-0.0805411174139681,-0.0806600610053665
11,0.999980221168294,0.0000120928417630263,0.00000757070009427614,0.000000112348672680825,8.00995264689695,7.82984273227737,8.01951874093107,148.1440756858,123.882143433364,148.32100059673,8.00994961781205,148.14376655003,0.00000579116818639331,0.00000233557826207469,0.0000000355671816559597,0.478892248809517,0.00000579128273119982,0.282813817436968,2.44235046892854,4.33192991968907,7.36387171070845,3.548544,0.000024572303445047,-0.106916128188272,-0.107072702981381
12,0.999974431504138,0.0000155113604750124,0.00000990627835635083,0.000000147915854336785,8.00724121151926,7.82984273227742,8.01951874094091,148.093927687988,123.882143433365,148.321000596912,8.00723737350349,148.093532038712,0.00000742629809883047,0.00000299582158193867,0.0000000456216484559188,0.478765103215392,0.00000742648798295773,0.282686671842843,2.4417020263985,4.33046352549731,7.36137897908406,3.548544,0.0000319986015438774,-0.14074086631064,-0.140945693413053
13,0.999967007679731,0.0000198937416509674,0.0000129020999382895,0.000000193537502792704,8.00376449511477,7.82984273227751,8.01951874095352,148.029625817444,123.882143433366,148.321000597145,8.00375966585393,148.029120108349,0.00000952118601104007,0.00000384222265219664,0.0000000585110048557864,0.478602073862616,0.00000952150014742237,0.282523642490067,2.44087057669934,4.32858325323124,7.35818269382431,3.548544,0.0000415197875549175,-0.184111793531827,-0.184378477840297
14,0.999957490560787,0.0000255101269386217,0.0000167443225904861,0.00000025204850764849,7.99930750721771,7.82984273227765,8.0195187409697,147.947193825464,123.882143433368,148.321000597445,7.99930148283231,147.946548457106,0.0000122038682294609,0.00000492695588912596,0.0000000750297851135933,0.478393081258427,0.0000122043870311095,0.282314649885878,2.43980471441798,4.32617283208726,7.35408520554494,3.548544,0.0000537236557843784,-0.23971035179291,-0.240056311248205
15,0.999945293376304,0.0000327053257466934,0.0000216712784796121,0.000000327078292762083,7.99359550722336,7.82984273227789,8.01951874099043,147.841550384512,123.882143433372,148.321000597828,7.99358807538298,147.840728384012,0.0000156372419010425,0.00000631661683539079,0.0000000961921345490983,0.478125245476982,0.0000156380974085527,0.282046814104433,2.43843875193261,4.32308367728616,7.34883393415515,3.548544,0.0000693608976854208,-0.310962970943063,-0.311410490464614
16,0.99992966711198,0.0000419187811011227,0.0000279878953150029,0.000000423270427311182,7.98627781560391,7.82984273227828,8.01951874101699,147.706209676656,123.882143433378,148.321000598319,7.98626878453516,147.705165253442,0.0000200280444359751,0.00000809607831070702,0.000000123290532650361,0.477782127959793,0.0000200294531652617,0.281703696587243,2.43668885259494,4.31912613488048,7.34210648585718,3.548544,0.0000893889421213959,-0.402242762880545,-0.402820330119014
17,0.999909657084009,0.0000537094402281499,0.0000360839736257099,0.000000546560959961542,7.97690750814866,7.82984273227893,8.01951874105099,147.532905838539,123.882143433389,148.321000598948,7.97689676363676,147.531582937272,0.0000256378135568499,0.0000103732938479858,0.0000001579689418475,0.47734278085834,0.0000256401299609569,0.281264349485791,2.43444818237753,4.31405850002561,7.33349198524434,3.548544,0.000115026755678246,-0.519122408112105,-0.51986640025069
18,0.999884048810993,0.0000687864504548912,0.0000464572674736957,0.000000704529901809042,7.96491612197809,7.82984273227999,8.01951874109451,147.311125149096,123.882143433405,148.321000599753,7.96490373249975,147.309456250299,0.0000327960426044759,0.0000132852262153074,0.00000020231308957321,0.476780563433533,0.0000327998457855939,0.280702132060984,2.43158087351102,4.30757333752639,7.32246782152223,3.548544,0.000147822798282722,-0.668688999964628,-0.669645803793939
19,0.999851301145143,0.0000880465769998689,0.0000597424936890032,0.000000906842991382252,7.94958243706882,7.82984273228172,8.01951874115016,147.027528643863,123.882143433433,148.321000600782,7.94956884016265,147.025434283844,0.0000419156015581966,0.0000170050741852688,0.00000025896052058785,0.476061682196447,0.0000419218352870972,0.279983250823898,2.42791457920188,4.2992805983108,7.30837094810873,3.548544,0.000189738399840918,-0.859932360970161,-0.861161021116763
20,0.999809464643495,0.000112619043942088,0.000076747567874272,0.0000011658035119701,7.92999442145352,7.82984273228453,8.01951874122124,146.665248291435,123.882143433477,148.321000602097,7.92998074510098,146.662638140681,0.0000535101969026006,0.0000217509329966583,0.000000331232482182613,0.475143412957021,0.0000535203944300336,0.279064981584471,2.4232314060808,4.28868703869321,7.29036289732539,3.548544,0.000243248596743519,-1.1042179453055,-1.10579344539372
