rhoo,phi,PV_losses_eqm,PV_losses_planner,cases_per_100k_eqm,cases_per_100k_planner,economic_loss_ratio,total_economic_savings,cases_per_100k_ratio,cases_per_100k_difference,productivity_loss,asymptomatic_prop,unavoid_avoid_contact_ratio,economic_loss_ratio_ADJUSTED
2,0.1,1569.2466482140537,295.30330328522876,20411.80812765976,20411.397747277173,0.8118184266180776,421678624395.2485,1.0000201054522413,0.4103803825855721,90,-23.915737298636927,0.15773521258014034,1
2,0.2,2865.9090894451265,666.1338500458492,39099.67340787887,39099.27315660839,0.7675663012134064,728131435845.3204,1.0000102367956785,0.4002512704828405,80,-10.147322043232823,0.15773521258014034,0.9696027088919078
2,0.3,3335.1209545961487,823.4666666269404,47687.61979927172,47685.165361921376,0.7530924131875588,831364227713.3253,1.0000514717172881,2.4544373503449606,70,3.621093212171278,0.15773521258014034,0.9513190492056052
2,0.4,3584.7911428431985,912.8817226883757,53371.16637608137,53367.893203923144,0.7453459110132861,884409101303.1191,1.0000613322348273,3.2731721582240425,60,17.38950846757539,0.15773521258014034,0.9415335368912446
2,0.5,3732.9386166567683,969.5896896633703,57643.55462053839,57647.58920817177,0.7402610143823534,914675820472.8202,0.9999300128992591,-4.034587633381307,50,31.157923722979486,0.15773521258014034,0.9351102096294908
2,0.6,3822.360222014884,1003.5706037447106,61071.977495112194,61085.29449978957,0.7374474027945755,933026836258.7054,0.9997819932802744,-13.317004677373916,40,44.92633897838359,0.15773521258014034,0.9315560079755537
2,0.7,3873.2686874370434,1034.7150072284162,63932.1236041114,63905.88614487573,0.7328574156023524,939568793154.8618,1.000410564046889,26.23745923567185,30.000000000000004,58.69475423378769,0.15773521258014034,0.9257578586712875
2,0.8,3896.8531956702013,1045.8976398434927,66379.7070937011,66363.7062458056,0.7316045569780276,943673846861.819,1.0002411084130267,16.000847895498737,19.999999999999996,72.4631694891918,0.15773521258014034,0.924175226507677
2,0.9,3899.9986843454626,1044.6496761429275,68512.08990895108,68513.3716570473,0.7321410183197917,945128091245.2599,0.9999812920008865,-1.2817480962257832,9.999999999999998,86.2315847445959,0.15773521258014034,0.9248528935305361
4,0.1,2710.1983352324087,623.2274838069279,36463.4059457432,36463.12083587513,0.7700435884322525,690792884381.5613,1.0000078191296173,0.2851098680694122,90,-23.915737298636927,0.3154704251602807,0.972732059925557
4,0.2,3359.803464883588,848.2631094366947,47699.9870444882,47700.235077245765,0.7475259733783013,831326515746.4039,0.9999948001774591,-0.2480327575613046,80,-10.147322043232823,0.3154704251602807,0.9442874284721159
4,0.3,3629.750330644931,950.6335201294097,53678.933153360354,53681.08065324879,0.7380994741970306,886794766619.3024,0.9999599952187567,-2.147499888436869,70,3.621093212171278,0.3154704251602807,0.9323797155786778
4,0.4,3775.634821311853,1009.9343702712448,57835.82206390643,57834.65473492255,0.7325126983757553,915454181166.337,1.000020183901663,1.1673289838799974,60,17.38950846757539,0.3154704251602807,0.9253224060515178
4,0.5,3859.6895731945356,1048.9230475725485,61064.56822453085,61062.11468455089,0.7282364222093669,930371171322.9371,1.0000401810515838,2.453539979956986,50,31.157923722979486,0.3154704251602807,0.9199205418108061
4,0.6,3906.107444134845,1073.4543981811128,63723.05154940111,63734.78312757481,0.7251856449077094,937615667573.9103,0.9998159313078666,-11.731578173697926,40,44.92633897838359,0.3154704251602807,0.916066748423529
4,0.7,3926.8061215602447,1087.9556351637557,65989.75472845866,65981.13420580741,0.7229413417712927,939667036789.8773,1.0001306513256405,8.62052265125385,30.000000000000004,58.69475423378769,0.3154704251602807,0.9132317068157821
4,0.8,3928.590085570162,1098.500469160239,67966.9269736067,67949.22562247036,0.7203830266753799,936767165599.2577,1.0002605085043161,17.701351136347512,19.999999999999996,72.4631694891918,0.3154704251602807,0.91
4,0.9,3915.757876973639,1095.4124905574242,69719.10252443767,69710.05073797672,0.7202553056206753,933541799639.3865,1.0001298490872568,9.051786460942822,9.999999999999998,86.2315847445959,0.3154704251602807,0.9098386606076526
6,0.1,3281.0106807575457,827.0964745615219,45968.594525966255,45969.1575130107,0.7479141170090445,812252107577.4445,0.9999877529396903,-0.562987044446345,90,-23.915737298636927,0.47320563774042096,0.9447777380586792
6,0.2,3658.0953687228666,978.2445359981585,53722.65369236631,53724.230688403186,0.7325809096279279,887037729916.4359,0.9999706464659117,-1.576996036877972,80,-10.147322043232823,0.47320563774042096,0.9254085716567286
6,0.3,3819.199371004511,1048.4060708524976,58114.646515619985,58117.508544272845,0.7254906149147302,917139927723.3551,0.9999507544503446,-2.8620286528603174,70,3.621093212171278,0.47320563774042096,0.9164519916845615
6,0.4,3903.199279728141,1088.4697357924292,61273.44336139092,61279.99123765673,0.7211339576112441,931682940890.7416,0.9998931482179817,-6.547876265809464,60,17.38950846757539,0.47320563774042096,0.9109485886345631
6,0.5,3946.7427502758924,1111.81229713245,63787.52390397607,63794.033264016856,0.7182962337601735,938369495391.1107,0.9998979628703856,-6.5093600407853955,50,31.157923722979486,0.47320563774042096,0.9073639279625982
6,0.6,3964.699024512584,1132.8650029107523,65899.14629602381,65899.35369932812,0.7142620421104915,937344568342.1975,0.9999968527262764,-0.2074033043027157,40,44.92633897838359,0.47320563774042096,0.902267868969991
6,0.7,3964.6018117670314,1139.1717746788013,67730.88314890124,67716.00773333314,0.7126642652238839,935224832491.2325,1.0002196735464186,14.875415568094468,30.000000000000004,58.69475423378769,0.47320563774042096,0.9002495302349391
