rhoc,phi,PV_losses_eqm,PV_losses_planner,cases_per_100k_eqm,cases_per_100k_planner,economic_loss_ratio,total_economic_savings,cases_per_100k_ratio,cases_per_100k_difference,productivity_loss,asymptomatic_prop,c_l_contact_ratio,avoid_unavoid_contact_ratio,economic_loss_ratio_ADJUSTED
0,0.1,4196.587970745054,1094.6498551552327,57589.65489357173,57589.45132824421,0.7391571765476679,1026749739498.1753,1.0000035347676148,0.20356532751611667,90,-23.915737298636927,0,2.1172207530750637,0.9015562484407996
0,0.2,4396.576127580287,1188.002955823273,62840.898981933125,62840.227852453456,0.7297890628185015,1062046225779.05,1.000010679933899,0.6711294796696166,80,-10.147322043232823,0,2.1172207530750637,0.8901298810366683
0,0.3,4455.410978938923,1218.5854557144244,65446.63175686881,65444.82205753633,0.7264931425013824,1071397829011.7711,1.0000276522920466,1.809699332479795,70,3.621093212171278,0,2.1172207530750637,0.8861098192006455
0,0.4,4465.210381358587,1229.6928743276494,67097.75430988724,67075.24152442474,0.7246058372834154,1070964872184.1516,1.0003356348028103,22.512785462502507,60,17.38950846757539,0,2.1172207530750637,0.8838078570930459
0,0.5,4450.481497717934,1221.6919141857009,68269.96600081938,68269.24654901998,0.7254921934149944,1068737911670.3552,1.0000105384464566,0.7194517993921181,50,31.157923722979486,0,2.1172207530750637,0.8848889531496398
0,0.6,4421.126948300333,1210.8294981684965,69159.94171552472,69154.57903145844,0.7261265029645914,1062616966492.1782,1.0000775463337552,5.362684066276415,40,44.92633897838359,0,2.1172207530750637,0.885662625862331
0,0.7,4382.080348069984,1193.439450392445,69866.47805623928,69862.67372745131,0.7276545942572514,1055448590218.2853,1.0000544543829344,3.8043287879700074,30.000000000000004,58.69475423378769,0,2.1172207530750637,0.8875264517126329
0,0.8,4336.139655963914,1172.3865742352557,70445.59547737321,70439.62048736443,0.7296243508617721,1047210657161.6057,1.0000848242788283,5.97499000877724,19.999999999999996,72.4631694891918,0,2.1172207530750637,0.8899289804724935
0,0.9,4285.039256163339,1147.0973240293074,70931.82790347483,70925.84202469712,0.7323017934131193,1038667098220.4265,1.0000843963019237,5.985878777704784,9.999999999999998,86.2315847445959,0,2.1172207530750637,0.8931946797562137
1,0.1,3969.119619133894,992.8773228466711,53034.499361851806,53033.852084371734,0.7498494834823527,985144090089.3982,1.000012204987091,0.6472774800713523,90,-23.915737298636927,0.13310171859608033,2.3990264739566425,0.914597745476972
