"","infolag","type","measure","values"
"1",0.85,"decentralized","losses",8658
"2",0.85,"decentralized","casesp100k",57217
"3",0.85,"lockdown","losses",11093
"4",0.85,"lockdown","casesp100k",54239
"5",0.85,"coordinated","losses",982
"6",0.85,"coordinated","casesp100k",56771
