"","infolag","type","measure","values"
"1",0,"decentralized","losses",10903
"2",0,"decentralized","casesp100k",55711
"3",0,"lockdown","losses",10903
"4",0,"lockdown","casesp100k",55711
"5",0,"coordinated","losses",10903
"6",0,"coordinated","casesp100k",55711
