"","scenarios","loss_ratios","case_ratios","perc_change_loss","perc_change_case"
"1","Frictionless baseline",0.91,0.00318636172484066,1,1
"2","Improving test quality",0.799826689774697,0.00269344972497609,0.878930428323842,0.845305698966361
"3","Improving test quality and delays",0.793507362784471,0.00275374995950373,0.871986112949968,0.864230177646084
"4","Limited and delayed testing",0.11413505698248,0.000949802915894971,0.125423139541187,0.298083832883873
