"","infolag","type","measure","values"
"1",1.85,"decentralized","losses",7804
"2",1.85,"decentralized","casesp100k",58119
"3",1.85,"lockdown","losses",10983
"4",1.85,"lockdown","casesp100k",54532
"5",1.85,"coordinated","losses",1245
"6",1.85,"coordinated","casesp100k",57710
