"","scenarios","loss_ratios","case_ratios","perc_change_loss","perc_change_case"
"1","Frictionless baseline",0.91,0.00318636172484066,1,1
"2","Improving test quality",0.813002754820937,0.00295512112749241,0.893409620682348,0.927428014357092
"3","Improving test quality and delays",0.804142692750288,0.0029785511938486,0.88367328873658,0.934781249293832
"4","Limited and delayed testing",0.120466786355476,0.00094981795155924,0.132381083907116,0.298088551640112
