"","scenarios","loss_ratios","case_ratios","perc_change_loss","perc_change_case"
"1","Frictionless baseline",0.89,0.00318636172484066,1,1
"2","Improving test quality",0.854066022544283,0.00303679885673458,0.959624744431779,0.953061553890728
"3","Improving test quality and delays",0.849896480331263,0.00301507537688439,0.954939865540745,0.946243909904851
"4","Limited and delayed testing",0.120466786355476,0.00094981795155924,0.135355939725254,0.298088551640112
