"","infolag","type","measure","values"
"1",0.8,"decentralized","losses",5485
"2",0.8,"decentralized","casesp100k",63170
"3",0.8,"lockdown","losses",8846
"4",0.8,"lockdown","casesp100k",63110
"5",0.8,"coordinated","losses",4814
"6",0.8,"coordinated","casesp100k",63109
