"","infolag","type","measure","values"
"1",0,"decentralized","losses",12033
"2",0,"decentralized","casesp100k",61792
"3",0,"lockdown","losses",12575
"4",0,"lockdown","casesp100k",61769
"5",0,"coordinated","losses",1041
"6",0,"coordinated","casesp100k",61584
