"","time","S","I","R","D","labor_S","labor_I","labor_R","consumption_S","consumption_I","consumption_R","aggregate_labor_supply","aggregate_consumption","weekly_new_cases","newly_recovered","newly_dead","newly_infected_per_I","prob_infection_S","infection_growth_rate","Reff","consumption_contacts","labor_contacts","other_contacts","total_cases","aggregate_hours_deviation","aggregate_consumption_deviation","qre_times","l_SS","l_SI","l_SR","l_IS","l_II","l_IR","l_RS","l_RI","l_RR","infolag","type"
"119",119,0.689541146558585,0.0160419525379302,0.290000647389932,0.0044162505723758,3.6079690344511,7.72159711547652,7.99325794701061,71.6723055860941,131.219096668553,158.786070705227,4.92976257859457,97.5740775921789,0.00303851354992536,0.00309829867644339,0.0000471822133468537,0.189410456285853,0.00440657321914756,-0.00666797508669641,0.965993327057848,1.92428047835576,3.27109506403315,3.548544,0.315365136525617,-38.323683764154,-38.5476685842015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"eqm"
"120",120,0.686489851621393,0.0159477665853321,0.293098946066375,0.00446343278572265,3.63351185266882,7.72159711705307,7.99325794701061,72.1797136750632,131.219096695344,158.786070705226,4.96032672099742,98.1833224302271,0.0030199570520677,0.00308010786010827,0.0000469051958392123,0.18936551622503,0.00439912847208882,-0.00671291514751936,0.965764132747651,1.93790352983341,3.29425296484172,3.548544,0.318385093577685,-37.9412954275431,-38.1639650778503,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"eqm"
"121",121,0.683457217666232,0.0158533874845455,0.296179053926484,0.00451033798156186,3.65910875491554,7.72159711873517,7.99325794701061,72.6881961432791,131.219096723929,158.786070705227,4.99069333643154,98.7886476771772,0.00300136912145601,0.00306187973966223,0.0000466276102486634,0.18932036603419,0.0043914513503927,-0.00675806533835881,0.96553386677437,1.95155542661339,3.31745989993978,3.548544,0.321386462699141,-37.5613783531064,-37.7827301370968,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"eqm"
"122",122,0.680443276605284,0.015758821195583,0.299240933666146,0.00455696559181052,3.68475814901656,7.72159711968224,7.99325794701061,73.1977213621912,131.219096740024,158.786070705226,5.02086214786605,99.3900476977125,0.00298275100997684,0.00304361546620573,0.0000463494741046558,0.18927500813404,0.00438354101293751,-0.00680342323850929,0.965302541483603,1.9652353193091,3.34071442545036,3.548544,0.324369213709117,-37.1839360067805,-37.4039673110738,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"eqm"
"123",123,0.677448059081098,0.0156640737794587,0.302284549132352,0.00460331506591518,3.71045841522015,7.72159712022063,7.99325794701061,73.7082571554309,131.219096749173,158.786070705226,5.0508328932891,99.9875171525772,0.00296410398847592,0.00302531621034645,0.0000460708052337023,0.189229445047874,0.00437539667985245,-0.00684898632467566,0.965070169744154,1.97894234411908,3.36401507299257,3.548544,0.327333317697593,-36.8089716665986,-37.0276799624542,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"eqm"
"124",124,0.674471594447649,0.0155691513973277,0.305309865342698,0.00464938587114888,3.73620790632537,7.72159712074353,7.99325794701061,74.2197708013511,131.219096758059,158.786070705227,5.08060532582047,100.581051000882,0.00294542934621091,0.0030069831620329,0.0000457916217568462,0.189183679382581,0.00436701763344539,-0.00689475198996785,0.964836764851164,1.99267562262163,3.38736034933246,3.548544,0.330278747043804,-36.436488421282,-36.6538712659993,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"eqm"
"125",125,0.671513910751814,0.0154740603093726,0.308316848504731,0.00469517749290573,3.76200494791608,7.72159712099378,7.99325794701061,74.7322290376753,131.219096762312,158.786070705226,5.11017921388545,101.170644503616,0.00292672839039266,0.00298861753033962,0.0000455119420863902,0.189137713817746,0.00435840321925119,-0.00694071755480345,0.964602340470502,2.00643426171382,3.41074873627943,3.548544,0.333205475434197,-36.0664891680646,-36.2825442063469,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"eqm"
"126",126,0.668575034714858,0.0153788068739032,0.311305466035071,0.00474068943499212,3.78784783866335,7.72159712123397,7.99325794701061,75.2455980675034,131.219096766393,158.786070705226,5.13955434144716,101.756293228228,0.00290800244622123,0.00297022054329307,0.0000452317849232448,0.189091551123899,0.00434955284781382,-0.00698688024865045,0.964366910731883,2.02021735407317,3.43417869147095,3.548544,0.336113477880418,-35.6989766097862,-35.9137015751255,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"eqm"
"127",127,0.665654991714341,0.015283397546204,0.314275686578364,0.00478592121991536,3.81373485057031,7.72159712161045,7.99325794701061,75.7598435641777,131.219096772791,158.786070705226,5.16873050815299,102.33799305159,0.00288925285642072,0.0029517934476492,0.0000449511692535411,0.189045194151764,0.00434046599572504,-0.00703323722078501,0.964130490173996,2.03402397812533,3.45764864831765,3.548544,0.339002730736839,-35.3339532530606,-35.5473459690885,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"eqm"
"128",128,0.662753805766345,0.0151878388772967,0.317227480026013,0.00483087238916891,3.83966422928524,7.72159712211797,7.99325794701061,76.2749306775007,131.219096781416,158.786070705226,5.1977075295179,102.91574016367,0.00287048098091918,0.00293333750865437,0.0000446701143449905,0.188998645831703,0.00433114220687126,-0.00707978554084617,0.963893093741685,2.04785319820063,3.4811570162695,3.548544,0.341873211717758,-34.9714214059824,-35.1834797878021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"eqm"
"129",129,0.659871499507982,0.0150921375126602,0.320160817534667,0.0048755425035139,3.86563419443793,7.72159712275134,7.99325794701061,76.7908240404177,131.219096792179,158.786070705226,5.2264852371074,103.489531071181,0.00285168819656288,0.0029148540097981,0.0000443886397431183,0.188951909175934,0.00432158109372684,-0.00712652219661526,0.963654736797262,2.06170406475266,3.50470218118727,3.548544,0.344724899914321,-34.6113831758373,-34.8221052313429,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"eqm"
