"","compliance","type","measure","values"
"137",0.68,"lockdown","losses",11950
"138",0.68,"lockdown","casesp100k",61662
"139",0.69,"lockdown","losses",11965
"140",0.69,"lockdown","casesp100k",61662
"141",0.7,"lockdown","losses",11980
"142",0.7,"lockdown","casesp100k",61661
"143",0.71,"lockdown","losses",11995
"144",0.71,"lockdown","casesp100k",61661
"145",0.72,"lockdown","losses",12010
"146",0.72,"lockdown","casesp100k",61661
"147",0.73,"lockdown","losses",12025
"148",0.73,"lockdown","casesp100k",61661
"149",0.74,"lockdown","losses",12040
"150",0.74,"lockdown","casesp100k",61660
"151",0.75,"lockdown","losses",12056
"152",0.75,"lockdown","casesp100k",61660
"153",0.76,"lockdown","losses",12072
"154",0.76,"lockdown","casesp100k",61660
"155",0.77,"lockdown","losses",12087
"156",0.77,"lockdown","casesp100k",61659
"157",0.78,"lockdown","losses",12103
"158",0.78,"lockdown","casesp100k",61659
"159",0.79,"lockdown","losses",12119
"160",0.79,"lockdown","casesp100k",61659
"161",0.8,"lockdown","losses",12135
"162",0.8,"lockdown","casesp100k",61658
"163",0.81,"lockdown","losses",12151
"164",0.81,"lockdown","casesp100k",61658
"165",0.82,"lockdown","losses",12167
"166",0.82,"lockdown","casesp100k",61658
"167",0.83,"lockdown","losses",12184
"168",0.83,"lockdown","casesp100k",61657
"169",0.84,"lockdown","losses",12200
"170",0.84,"lockdown","casesp100k",61657
"171",0.85,"lockdown","losses",12217
"172",0.85,"lockdown","casesp100k",61657
"173",0.86,"lockdown","losses",12233
"174",0.86,"lockdown","casesp100k",61656
"175",0.87,"lockdown","losses",12250
"176",0.87,"lockdown","casesp100k",61656
"177",0.88,"lockdown","losses",12267
"178",0.88,"lockdown","casesp100k",61656
"179",0.89,"lockdown","losses",12284
"180",0.89,"lockdown","casesp100k",61655
"181",0.9,"lockdown","losses",12301
"182",0.9,"lockdown","casesp100k",61655
"183",0.91,"lockdown","losses",12319
"184",0.91,"lockdown","casesp100k",61655
"185",0.92,"lockdown","losses",12336
"186",0.92,"lockdown","casesp100k",61654
"187",0.93,"lockdown","losses",12354
"188",0.93,"lockdown","casesp100k",61654
"189",0.94,"lockdown","losses",12371
"190",0.94,"lockdown","casesp100k",61654
"191",0.95,"lockdown","losses",12390
"192",0.95,"lockdown","casesp100k",61653
"193",0.96,"lockdown","losses",12408
"194",0.96,"lockdown","casesp100k",61653
"195",0.97,"lockdown","losses",12426
"196",0.97,"lockdown","casesp100k",61652
"197",0.98,"lockdown","losses",12444
"198",0.98,"lockdown","casesp100k",61652
"199",0.99,"lockdown","losses",12463
"200",0.99,"lockdown","casesp100k",61652
"201",1,"lockdown","losses",12482
"202",1,"lockdown","casesp100k",61651
"203",0,"coordinated","losses",10755
"204",0,"coordinated","casesp100k",61679
"205",0.01,"coordinated","losses",10646
"206",0.01,"coordinated","casesp100k",61682
"207",0.02,"coordinated","losses",10536
"208",0.02,"coordinated","casesp100k",61684
"209",0.03,"coordinated","losses",10428
"210",0.03,"coordinated","casesp100k",61687
"211",0.04,"coordinated","losses",10319
"212",0.04,"coordinated","casesp100k",61690
"213",0.05,"coordinated","losses",10211
"214",0.05,"coordinated","casesp100k",61692
"215",0.06,"coordinated","losses",10100
"216",0.06,"coordinated","casesp100k",61695
"217",0.07,"coordinated","losses",9991
"218",0.07,"coordinated","casesp100k",61697
"219",0.08,"coordinated","losses",9882
"220",0.08,"coordinated","casesp100k",61699
"221",0.09,"coordinated","losses",9773
"222",0.09,"coordinated","casesp100k",61701
"223",0.1,"coordinated","losses",9662
"224",0.1,"coordinated","casesp100k",61703
"225",0.11,"coordinated","losses",9552
"226",0.11,"coordinated","casesp100k",61705
"227",0.12,"coordinated","losses",9442
"228",0.12,"coordinated","casesp100k",61707
"229",0.13,"coordinated","losses",9332
"230",0.13,"coordinated","casesp100k",61709
"231",0.14,"coordinated","losses",9222
"232",0.14,"coordinated","casesp100k",61711
"233",0.15,"coordinated","losses",9111
"234",0.15,"coordinated","casesp100k",61713
"235",0.16,"coordinated","losses",9002
