labor_supply_S,labor_supply_I,labor_supply_R,lifetime_utility_S,lifetime_utility_I,lifetime_utility_R,SWF,simplex_check,S,I,R,gamma_c,gamma_l,risk_aversion,s,alpha_U,phi,rho_c,rho_l,rho_o,duration,policy
7.99325794701061,7.72159723244582,7.99325794701061,35308.1411022382,24690.313325529,35308.1411022382,0,1,0,0,0,0,0,1,1.64170854271357,0.226633165829146,0.8554632,0.000204606749063615,0.117414903681587,3.548544,5.1,0
7.99325794701061,7.72159723244582,7.99325794701061,35308.1411022382,24690.313325529,35308.1411022382,1858.32321590727,1,0.0526315789473684,0,0,0,0,1,1.64170854271357,0.226633165829146,0.8554632,0.000204606749063615,0.117414903681587,3.548544,5.1,0
7.99325794701061,7.72159723244582,7.99325794701061,35308.1411022382,24690.313325529,35308.1411022382,3716.64643181455,1,0.105263157894737,0,0,0,0,1,1.64170854271357,0.226633165829146,0.8554632,0.000204606749063615,0.117414903681587,3.548544,5.1,0
7.99325794701061,7.72159723244582,7.99325794701061,35308.1411022382,24690.313325529,35308.1411022382,5574.96964772182,1,0.157894736842105,0,0,0,0,1,1.64170854271357,0.226633165829146,0.8554632,0.000204606749063615,0.117414903681587,3.548544,5.1,0
7.99325794701061,7.72159723244582,7.99325794701061,35308.1411022382,24690.313325529,35308.1411022382,7433.29286362909,1,0.210526315789474,0,0,0,0,1,1.64170854271357,0.226633165829146,0.8554632,0.000204606749063615,0.117414903681587,3.548544,5.1,0
7.99325794701061,7.72159723244582,7.99325794701061,35308.1411022382,24690.313325529,35308.1411022382,9291.61607953637,1,0.263157894736842,0,0,0,0,1,1.64170854271357,0.226633165829146,0.8554632,0.000204606749063615,0.117414903681587,3.548544,5.1,0
7.99325794701061,7.72159723244582,7.99325794701061,35308.1411022382,24690.313325529,35308.1411022382,11149.9392954436,1,0.315789473684211,0,0,0,0,1,1.64170854271357,0.226633165829146,0.8554632,0.000204606749063615,0.117414903681587,3.548544,5.1,0
7.99325794701061,7.72159723244582,7.99325794701061,35308.1411022382,24690.313325529,35308.1411022382,13008.2625113509,1,0.368421052631579,0,0,0,0,1,1.64170854271357,0.226633165829146,0.8554632,0.000204606749063615,0.117414903681587,3.548544,5.1,0
7.99325794701061,7.72159723244582,7.99325794701061,35308.1411022382,24690.313325529,35308.1411022382,14866.5857272582,1,0.421052631578947,0,0,0,0,1,1.64170854271357,0.226633165829146,0.8554632,0.000204606749063615,0.117414903681587,3.548544,5.1,0
7.99325794701061,7.72159723244582,7.99325794701061,35308.1411022382,24690.313325529,35308.1411022382,16724.9089431655,1,0.473684210526316,0,0,0,0,1,1.64170854271357,0.226633165829146,0.8554632,0.000204606749063615,0.117414903681587,3.548544,5.1,0
7.99325794701061,7.72159723244582,7.99325794701061,35308.1411022382,24690.313325529,35308.1411022382,18583.2321590727,1,0.526315789473684,0,0,0,0,1,1.64170854271357,0.226633165829146,0.8554632,0.000204606749063615,0.117414903681587,3.548544,5.1,0
7.99325794701061,7.72159723244582,7.99325794701061,35308.1411022382,24690.313325529,35308.1411022382,20441.55537498,1,0.578947368421053,0,0,0,0,1,1.64170854271357,0.226633165829146,0.8554632,0.000204606749063615,0.117414903681587,3.548544,5.1,0
7.99325794701061,7.72159723244582,7.99325794701061,35308.1411022382,24690.313325529,35308.1411022382,22299.8785908873,1,0.631578947368421,0,0,0,0,1,1.64170854271357,0.226633165829146,0.8554632,0.000204606749063615,0.117414903681587,3.548544,5.1,0
7.99325794701061,7.72159723244582,7.99325794701061,35308.1411022382,24690.313325529,35308.1411022382,24158.2018067946,1,0.684210526315789,0,0,0,0,1,1.64170854271357,0.226633165829146,0.8554632,0.000204606749063615,0.117414903681587,3.548544,5.1,0
7.99325794701061,7.72159723244582,7.99325794701061,35308.1411022382,24690.313325529,35308.1411022382,26016.5250227018,1,0.736842105263158,0,0,0,0,1,1.64170854271357,0.226633165829146,0.8554632,0.000204606749063615,0.117414903681587,3.548544,5.1,0
7.99325794701061,7.72159723244582,7.99325794701061,35308.1411022382,24690.313325529,35308.1411022382,27874.8482386091,1,0.789473684210526,0,0,0,0,1,1.64170854271357,0.226633165829146,0.8554632,0.000204606749063615,0.117414903681587,3.548544,5.1,0
7.99325794701061,7.72159723244582,7.99325794701061,35308.1411022382,24690.313325529,35308.1411022382,29733.1714545164,1,0.842105263157895,0,0,0,0,1,1.64170854271357,0.226633165829146,0.8554632,0.000204606749063615,0.117414903681587,3.548544,5.1,0
7.99325794701061,7.72159723244582,7.99325794701061,35308.1411022382,24690.313325529,35308.1411022382,31591.4946704237,1,0.894736842105263,0,0,0,0,1,1.64170854271357,0.226633165829146,0.8554632,0.000204606749063615,0.117414903681587,3.548544,5.1,0
7.99325794701061,7.72159723244582,7.99325794701061,35308.1411022382,24690.313325529,35308.1411022382,33449.8178863309,1,0.947368421052632,0,0,0,0,1,1.64170854271357,0.226633165829146,0.8554632,0.000204606749063615,0.117414903681587,3.548544,5.1,0
7.99325794701061,7.72159723244582,7.99325794701061,35308.1411022382,24690.313325529,35308.1411022382,35308.1411022382,1,1,0,0,0,0,1,1.64170854271357,0.226633165829146,0.8554632,0.000204606749063615,0.117414903681587,3.548544,5.1,0
7.99325794701061,7.72159723142264,7.99325794701061,34085.3712882698,24690.313325529,35308.1411022382,1299.49017502784,1,0,0.0526315789473684,0,0,0,1,1.64170854271357,0.226633165829146,0.8554632,0.000204606749063615,0.117414903681587,3.548544,5.1,0
