"","infolag","type","measure","values"
"1",0.8,"decentralized","losses",5452
"2",0.8,"decentralized","casesp100k",64557
"3",0.8,"lockdown","losses",7085
"4",0.8,"lockdown","casesp100k",64037
"5",0.8,"coordinated","losses",5470
"6",0.8,"coordinated","casesp100k",64393
