time,S,I,R,D,labor_S,labor_I,labor_R,consumption_S,consumption_I,consumption_R,aggregate_labor_supply,aggregate_consumption,weekly_new_cases,newly_recovered,newly_dead,newly_infected_per_I,prob_infection_S,infection_growth_rate,Reff,consumption_contacts,labor_contacts,other_contacts,total_cases,aggregate_hours_deviation,aggregate_consumption_deviation
1,0.999999,0.000001,0,0,7.99323622284772,7.77093975991949,7.99323622221364,158.785639154726,132.057614546942,158.78563914213,7.99323600055126,158.785612426702,0.000000475376128535816,0.000000193137254901961,0.00000000294117647058824,0.475376128535816,0.000000475376603912419,0.279297697163267,2.42441825553266,4.29036878890092,7.29322171383642,3.548544,0.000000475376128535816,0,0
2,0.999998524623871,0.00000127929769716327,0.000000193137254901961,0,7.99323622284772,7.77093975991949,7.99323622221364,158.785639154726,132.057614546942,158.78563914213,7.99323591495485,158.785604494609,0.000000608147297423123,0.000000247080045432513,0.00000000376264028577431,0.475375902553126,0.000000608148194670453,0.279297471180577,2.42441710302094,4.29036878890092,7.29322171383642,3.548544,0.00000108352342595894,-0.00000107086052247851,-0.00000499547292420743
3,0.999997916493065,0.00000163658581753579,0.000000440217300334474,0.00000000376264028577431,7.99323622302483,7.77066447794617,7.99323622221364,158.785639158245,132.052936466574,158.78563914213,7.99323580518188,158.785594343413,0.000000777971889899922,0.000000316085692210343,0.00000000481348769863467,0.475362722543519,0.000000777973510813127,0.27928429117097,2.42434988497195,4.29021680465136,7.29296335496715,3.548544,0.00000186149531585886,-0.00000244418379979905,-0.0000113884934149766
4,0.999997138548164,0.00000209363153933009,0.000000756302992544817,0.00000000857612798440898,7.9932362232514,7.77031232689078,7.99323622221364,158.785639162746,132.046952090196,158.78563914213,7.99323566447037,158.785581353004,0.000000995199089195703,0.000000404358248282381,0.0000000061577398215591,0.47534586220178,0.000000995201936918113,0.279267430829231,2.42426389722908,4.29002238068222,7.29263285258304,3.548544,0.00000285669440505456,-0.00000420456608418718,-0.0000195695925353512
5,0.999996143393239,0.00000267827047564217,0.0000011606612408272,0.0000000147338678059681,7.99323622354125,7.76986185254218,7.99323622221364,158.785639168503,132.039296829735,158.78563914213,7.99323548400346,158.785564728021,0.00000127304702393719,0.000000517273807550497,0.0000000078772661048299,0.475324294359015,0.00000127305193359789,0.279245862986466,2.42415390123097,4.28977367203997,7.29221007138185,3.548544,0.00000412974142899176,-0.00000646231137491071,-0.0000300396742369813
6,0.999994870418485,0.00000342609415594888,0.0000016779350483777,0.000000022611133910798,7.99323622391203,7.76928561950587,7.99323622221364,158.785639175869,132.029504454225,158.78563914213,7.99323525239051,158.785543449492,0.00000162841126503027,0.000000661706420315617,0.0000000100767475174967,0.475296705492692,0.00000162841961814144,0.279218274120143,2.42401319801273,4.28945553153643,7.29166926257436,3.548544,0.00000575815269402203,-0.00000935992310324707,-0.0000434404658244958
7,0.999993242125474,0.00000438260399973127,0.00000233964146869331,0.0000000326878814282947,7.99323622438633,7.76854854798503,7.99323622221364,158.785639185291,132.016978825433,158.78563914213,7.99323495487774,158.78551621147,0.00000208288258313772,0.000000846444105830451,0.0000000128900117639155,0.475261416104545,0.000002082896659092,0.279182984731996,2.42383322213318,4.28904859147917,7.2909775029127,3.548544,0.00000784103527715975,-0.0000130819797328208,-0.0000605944267539904
8,0.999991159436371,0.00000560595898524254,0.00000318608557452376,0.0000000455778931922102,7.99323622499305,7.76760579077659,7.99323622221364,158.785639197343,132.000957820009,158.78563914213,7.9932345722937,158.785481339386,0.00000266404296970473,0.00000108271952950273,0.000000016488114662478,0.475216279091182,0.00000266406652155433,0.279137847718633,2.42360302336503,4.28852809155268,7.29009270219912,3.548544,0.0000105050782468645,-0.0000178683271401248,-0.000082556166913772
9,0.999988495709932,0.00000717047777997589,0.00000426880510402649,0.0000000620660078546882,7.99323622576912,7.76640002510823,7.99323622221364,158.78563921276,131.980467307564,158.78563914213,7.99323407962739,158.785436684663,0.00000340711382552078,0.00000138488639476005,0.0000000210896405293409,0.475158550108809,0.00000340715302239745,0.27908011873626,2.42330860555492,4.28786238363108,7.2889610616088,3.548544,0.0000139121920723853,-0.0000240318673072615,-0.00011067881794391
10,0.999985089113881,0.00000917109779494903,0.00000565369149878654,0.0000000831556483840291,7.99323622676176,7.76485800086137,7.99323622221364,158.785639232479,131.954262491942,158.78563914213,7.99323344409043,158.785379488359,0.00000435704844957811,0.00000177128065255388,0.0000000269738170439677,0.475084722352187,0.0000043571134180001,0.279006290979638,2.42293208399615,4.28701102603853,7.2875138341126,3.548544,0.0000182692405219634,-0.0000319828017736334,-0.000146699905190228
11,0.999980732912263,0.0000117290449436925,0.00000742497215134042,0.000000110129465427997,7.99323622803133,7.76288614562879,7.99323622221364,158.785639257699,131.920753224557,158.78563914213,7.99323262244447,158.785306204248,0.00000557118276658209,0.0000022653155430465,0.0000000344971910108604,0.474990316204567,0.00000557129010911743,0.278911884832018,2.42245061264329,4.2859223570845,7.28566319971603,3.548544,0.0000238404232885455,-0.0000422620674345175,-0.000192852771063734
12,0.999975163114221,0.0000149990302520845,0.00000969028769438692,0.000000144626656438857,7.99323622965496,7.76036497647516,7.99323622221364,158.785639289952,131.877909039094,158.78563914213,7.99323155726736,158.785212268438,0.00000712258367319065,0.00000289687152907907,0.0000000441147948590721,0.474869611800455,0.00000712276058038162,0.278791180427906,2.42183502018232,4.28453040977485,7.28329702075968,3.548544,0.0000309630069617361,-0.0000555880483532611,-0.000252011663826046
13,0.999968042794231,0.0000191783639183479,0.000012587159223466,0.000000188741451297929,7.99323623173117,7.75714200679949,7.99323622221364,158.785639331196,131.823138612315,158.78563914213,7.99323017166556,158.785091798094,0.00000910426296533406,0.00000370405656070052,0.0000000564069527010231,0.474715309611163,0.00000910455392143717,0.278636878238614,2.42104807901693,4.28275099566299,7.28027218483599,3.548544,0.0000400672699270702,-0.0000729227273787991,-0.000327881474659897
14,0.999958942230587,0.0000245184640482977,0.0000162912157841665,0.000000245148403998952,7.99323623438578,7.75302276331656,7.99323622221364,158.78563938393,131.753137108649,158.78563914213,7.99322836168161,158.784937195428,0.0000116344549914845,0.00000473542884070064,0.0000000721131295538169,0.474518100667576,0.0000116349326958683,0.278439669295027,2.42004231340464,4.28047674529023,7.27640617400629,3.548544,0.0000517017249185547,-0.0000955666722202153,-0.00042524713865788
15,0.999947313818452,0.0000313393342135855,0.0000210266446248671,0.000000317261533552769,7.99323623777938,7.74775944279347,7.99323622221364,158.785639451344,131.663693415305,158.78563914213,7.99322598524383,158.784738624014,0.0000148631845654533,0.00000605279298046701,0.0000000921745123928986,0.474266123975606,0.0000148639676911536,0.278187692603057,2.41875723227559,4.27757084552574,7.27146641887022,3.548544,0.000066564909484008,-0.00012529728171673,-0.000550303440283173
16,0.999932460499499,0.000040047685673099,0.0000270794376053342,0.000000409436045945668,7.99323624211673,7.74103664264878,7.99323622221364,158.785639537505,131.549447651265,158.78563914213,7.99322284587735,158.784483311462,0.0000189803717182903,0.00000773470007607892,0.000000117787310803232,0.473944284152226,0.0000189816537297018,0.277865852779677,2.41711584917635,4.27385916137452,7.26515690638342,3.548544,0.0000855452812022982,-0.000164572569949506,-0.000711094174354887
17,0.999913496223169,0.000051159474616474,0.0000348141376814131,0.0000005272233567489,7.99323624765881,7.73245349929121,7.99323622221364,158.785639647599,131.403587630195,158.78563914213,7.99321866841916,158.784154613671,0.0000242257198337896,0.00000988080048965233,0.000000150469042989629,0.473533397584749,0.0000242278156313461,0.2774549662122,2.41502032768222,4.26912037448431,7.25710141625064,3.548544,0.000109771001036088,-0.000216834985156122,-0.000918101462765719
18,0.999889296738869,0.0000653276893839602,0.0000446949381710654,0.00000067769239973853,7.99323625473775,7.72150147491513,7.99323622221364,158.785639788222,131.217471374215,158.78563914213,7.99321306246603,158.783730748612,0.000030900593590432,0.000012617210596706,0.000000192140262894001,0.473009131071747,0.0000309040147656486,0.276930699699198,2.41234656846591,4.26307371914826,7.24682267328871,3.548544,0.00014067159462652,-0.00028696869732725,-0.00118504319178703
19,0.999858438860411,0.0000833762169818991,0.0000573121487677714,0.00000086983266263253,7.99323626377573,7.70753696980351,7.99323622221364,158.785639967761,130.980161693489,158.78563914213,7.99320546695952,158.783183068171,0.0000393819801954078,0.0000161030536719942,0.000000245224167593821,0.472340694036977,0.0000393875559427126,0.276262262664428,2.40893753958858,4.25536386144982,7.23371664340096,3.548544,0.000180053574821928,-0.000381992871634207,-0.00152996136936201
20,0.999819126325042,0.00010634047451169,0.0000734152024397657,0.00000111505683022635,7.99323627530831,7.68974794274295,7.99323622221364,158.785640196856,130.677858941015,158.78563914213,7.99319506578889,158.782473679953,0.000050138390141701,0.0000205383073321597,0.000000312766101504969,0.471489245952062,0.0000501474604971709,0.275410814579513,2.40459515435552,4.24554247026241,7.21702120601726,3.548544,0.000230191964963629,-0.000512117524875677,-0.00197671986819081
