blanket_1,decentralized,coordinated
57 days,56 days,57 days
57 days,56 days,57 days
"2779.31 cases per 100,000","2784.85 cases per 100,000","2782.2 cases per 100,000"
85.04% contraction,85.25% contraction,2.81% contraction
503 days,488 days,248 days
"$4,393,160,000,000 ","$4,020,528,000,000 ","$316,261,900,000 "
